Borough,District,Building Code,DBN,School Name,SchoolFood Code,Breakfast Before Bell ADP             FY18,Breakfast Before Bell ADP             FY19,"Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY18","Breakfast In Classroom ADP (where available - see ""Key"" tab)           FY19",Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)          FY18,Breakfast Before Bell (Y = breakfast before bell in Any Part of DBN)           FY19,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY18,Breakfast In Classroom Offered (Y = BIC in Any Part of DBN)                      FY19,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY18,Grab & Go Offered (Y = G&G in Any Part of DBN)                       FY19,Lunches ADP            FY18,Lunches ADP            FY19,Salad bar  (Y = Salad Bar offered in building)                 FY18,Salad bar  (Y = Salad Bar offered in building)                 FY19,Snacks ADP            FY18,Snacks ADP            FY19,Suppers ADP            FY18,Suppers ADP            FY19
M,2,M271,02M217,P.S./I.S. 217 Roosevelt Island,2217,60,72,,,true,true,,,,,318,374,true,true,171,53,114,101
M,2,M480,02M225,Ella Baker School,2225,77,109,,,true,true,,,,,139,199,true,true,81,23,64,75
M,2,M480,75M226,P.S. M226,2226,42,46,,,true,,,,,,42,46,true,true,,,,
M,2,M477,75M226,P226M @ Stuyvesant H.S.,2227,14,11,,,true,,,,,,15,12,true,true,,,,
M,2,M234,02M234,P.S. 234 Independence School,2234,13,14,,,true,true,,,,,189,208,true,true,,,,
M,2,M198,02M077,P.S. 77 Lower Lab School,2250,33,30,,,true,true,,,,,139,156,true,true,,,,
M,2,M868,02M260,M.S. 260 Clinton School Writers & Artists,2260,16,34,,,true,true,,,,,91,152,true,true,90,53,15,
M,2,M267,02M267,"East Side Elementary School, PS 267",2267,17,23,,,true,true,,,,,87,107,true,true,,,,
M,2,M276,02M276,BATTERY PARK CITY SCHOOL,2276,31,45,,,true,true,,,,,258,368,true,true,,,19,26
M,2,M520,02M280,Manhattan Early College School for Advertising (P-Tech),2280,13,14,,,true,true,,,,,77,56,true,true,56,35,,
M,2,M281,02M281,The River School,2281,56,63,,,true,true,,,,,159,210,true,true,,,,
M,2,M520,02M282,Urban Assembly Maker Academy,2282,27,34,,,true,true,,,,,123,90,true,true,,48,,
M,2,M089,02M289,I.S. 289,2289,37,31,,,true,true,,,,,85,72,true,true,91,74,239,104
M,2,M453,02M391,Pre-K Center at 2 Lafayette Street,2291,9,11,,,true,,,,,,13,17,,,,,,
M,2,M323,02M297,MS 297,2297,13,39,,,true,true,,,,,66,193,true,true,,69,,
M,2,M131,02M298,Pace High School,2298,17,28,,,true,true,,,,,122,95,true,true,,,,
M,2,M440,02M313,"James Baldwin School, The: A School for Expeditionary Learning",2313,40,41,,,true,true,,,,,7,8,true,true,,,,
M,2,M340,02M340,Sixth Avenue Elementary School,2340,14,21,,,true,true,,,,,103,133,true,true,,,,
M,2,M343,02M343,The Peck Slip School,2343,52,49,,,true,true,true,true,true,true,145,158,true,true,,,,
M,2,M620,84M351,Success Academy Charter High School of the Liberal Arts,2351,29,21,,,true,true,,,,,187,114,true,true,,,,
M,2,M460,02M374,Gramercy Arts High School,2374,39,31,,,true,true,,,,,198,195,true,true,53,53,,
M,2,M615,02M376,NYC iSchool,2376,3,9,,,true,true,,,,,35,35,true,true,,,,
M,2,M620,84M385,Success Academy Charter High School of Liberal Arts (BX),2385,20,12,,,true,true,,,,,74,93,true,true,,,,
M,2,M281,02M391,Pre-K Center @ 425 East 35 Street,2391,33,26,,,true,,,,,,68,46,true,true,,,,
M,2,M440,02M392,MANHATTAN BUSINESS ACADEMY,2392,100,98,,,true,true,,,,,52,54,true,true,,,,
M,2,M625,02M393,Business of Sports School,2393,30,26,,,true,true,,,,,92,72,true,true,,,,
M,2,M131,02M394,EMMA LAZARUS HIGH SCHOOL,2394,70,65,,,true,true,,,,,222,212,true,true,,,,
M,2,M474,02M391,Pre-K Center at East 57 Street - Manhattan,2396,,65,,,true,,,,,,,98,,,,,,
M,2,M971,02M397,SPRUCE STREET SCHOOL,2397,59,65,,,true,true,,,,,210,215,true,true,28,24,,
M,2,M491,02M391,Pre-K Center at 3rd Avenue - Manhattan,2398,,65,,,true,,,,,,,56,,,,,,
M,2,M460,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,2399,33,65,,,true,true,,,,,127,108,true,true,,,,
M,2,M913,75M401,Hospital Schools,2401,,,,,,,,,,,10,11,,,,,,
M,2,M070,02M412,N.Y.C. Lab School for Collaborative Studies,2412,43,29,,,true,true,,,,,45,44,true,true,,,,
M,2,M017,02M212,P.S. 212 Midtown West,2417,48,51,,,true,true,,,,,145,149,true,true,,,,
M,2,M645,02M655,Life Sciences Secondary School,2420,33,16,,,true,true,,,,,143,80,true,true,6,14,14,27
M,2,M440,02M422,Quest to Learn,2422,60,66,,,true,true,,,,,170,165,true,true,,49,80,
M,2,M620,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,2427,61,60,,,true,true,,,,,149,113,true,true,,,28,15
M,2,M600,02M473,Fashion Industries Yabc,2473,40,5,,,true,true,,,,,40,24,,true,,,,
M,2,M912,03M479,Beacon High School,2479,76,109,,,true,true,,,,,432,545,true,true,,,,
M,2,M535,02M300,"Urban Assembly School of Design and Construction,",2500,57,41,,,true,true,,,,,73,66,true,true,,,,
M,2,M877,02M551,Urban Assembly New York Harbor School,2501,71,91,,,true,true,,,,,196,247,true,true,,,19,23
M,2,M834,02M544,Independence High School,2504,32,12,,,true,true,,,,,7,4,true,true,,21,,21
M,2,M520,02M520,Murry Bergtraum High School for Business Careers,2505,15,6,,,true,true,,,,,69,42,true,true,20,44,23,
M,2,M486,02M529,Jacqueline Kennedy Onassis High School,2506,40,26,,,true,true,,,,,121,108,true,true,,,,
M,2,M625,02M507,Urban Assembly Gateway School-Tech.,2507,61,60,,,true,true,,,,,184,134,true,true,13,,9,
M,2,M535,02M542,Manhattan Bridges High School,2509,175,164,,,true,true,,,,,252,253,true,true,56,51,83,64
